Rowid_,HRU_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,1013500,284448,2304028800.000000000000000,0.000000000000000,85.150001525878906,85.150001525878906,27.442906433427034,13.672132038801561,7806079.849175453186035
,1022500,76593,620403300.000000000000000,0.000000000000000,99.000000000000000,99.000000000000000,27.452819371655195,18.872358296989358,2102693.794133186340332
,1030500,453847,3676160700.000000000000000,0.000000000000000,85.150001525878906,85.150001525878906,31.567640162388532,16.534137805923603,14326878.784779548645020
,1031500,94635,766543500.000000000000000,0.000000000000000,85.150001525878906,85.150001525878906,29.151207353100446,13.785363738344701,2758724.507860660552979
,1047000,111740,905094000.000000000000000,0.000000000000000,85.150001525878906,85.150001525878906,23.184871501190326,10.297152626646941,2590677.541543006896973
,1052500,48907,396146700.000000000000000,0.000000000000000,83.669998168945313,83.669998168945313,26.324714131577291,9.421602690878165,1287462.794033050537109
,1054200,22383,181302300.000000000000000,0.000000000000000,24.920000076293945,24.920000076293945,5.730044584568707,9.733127195505761,128255.587936401367188
,1055000,30988,251002800.000000000000000,0.000000000000000,66.760002136230469,66.760002136230469,21.539999712478334,5.121143966590625,667481.511090278625488
,1057000,24413,197745300.000000000000000,0.000000000000000,74.730003356933594,74.730003356933594,21.953296969046594,9.201843427022707,535945.838905334472656
,1073000,3968,32140800.000000000000000,0.000000000000000,115.879997253417969,115.879997253417969,19.286131490502626,15.365523870683706,76527.369754314422607
,1078000,27393,221883300.000000000000000,0.000000000000000,94.569999694824219,94.569999694824219,21.850242722792977,9.639315141002983,598543.698905467987061
,1118300,1696,13737600.000000000000000,0.000000000000000,103.989997863769531,103.989997863769531,28.883195406423425,14.968656415191568,48985.899409294128418
,1121000,11683,94632300.000000000000000,0.000000000000000,103.989997863769531,103.989997863769531,28.020045035813734,13.379600678597502,327358.186153411865234
,1123000,10401,84248100.000000000000000,0.000000000000000,103.989997863769531,103.989997863769531,29.238881687053912,12.927848545613950,304113.608427047729492
,1134500,25863,209490300.000000000000000,0.000000000000000,66.610000610351563,66.610000610351563,21.092618779129815,11.416250016220957,545518.399484634399414
,1137500,29426,238350600.000000000000000,0.000000000000000,94.569999694824219,94.569999694824219,20.082061253178658,6.882285423799619,590934.734436035156250
,1139000,32044,259556400.000000000000000,0.000000000000000,83.669998168945313,83.669998168945313,21.733122003062093,9.096765561691337,696416.161466121673584
,1139800,3072,24883200.000000000000000,10.000000000000000,56.569999694824219,46.569999694824219,16.373203068350751,6.028726511591145,50298.479825973510742
,1142500,9859,79857900.000000000000000,0.000000000000000,56.569999694824219,56.569999694824219,17.380654151425883,7.703546730932961,171355.869278907775879
,1144000,210018,1701145800.000000000000000,0.000000000000000,83.669998168945313,83.669998168945313,18.522994062376497,6.339067503485198,3890162.166992187500000
,1162500,9607,77816700.000000000000000,0.000000000000000,92.260002136230469,92.260002136230469,29.799925207880790,20.144658594031661,286287.881472110748291
,1169000,28882,233944200.000000000000000,0.000000000000000,90.830001831054688,90.830001831054688,22.779733601868561,8.544175096455946,657924.265889167785645
,1170100,13491,109277100.000000000000000,0.000000000000000,107.339996337890625,107.339996337890625,21.855691809940883,6.365694113856101,294855.138207912445068
,1181000,30333,245697300.000000000000000,0.000000000000000,80.589996337890625,80.589996337890625,19.132910920459636,5.141789871641007,580358.586950302124023
,1187300,6693,54213300.000000000000000,0.000000000000000,74.250000000000000,74.250000000000000,22.110539288864921,9.999232193967506,147985.839460372924805
,1195100,1968,15940800.000000000000000,0.000000000000000,103.989997863769531,103.989997863769531,29.853825995592565,13.869805226483479,58752.329559326171875
,1333000,13773,111561300.000000000000000,0.000000000000000,80.589996337890625,80.589996337890625,16.614947883320955,8.883326558034691,228837.677196979522705
,1350000,75822,614158200.000000000000000,0.000000000000000,85.949996948242188,85.949996948242188,12.642128876961072,6.395337358659680,958551.495708942413330
,1350080,11059,89577900.000000000000000,0.000000000000000,68.400001525878906,68.400001525878906,12.704972280603560,4.739461311215216,140504.288451194763184
,1350140,5875,47587500.000000000000000,0.000000000000000,40.790000915527344,40.790000915527344,13.878200760374678,6.801651319888941,81534.429467201232910
,1365000,12670,102627000.000000000000000,0.000000000000000,28.920000076293945,28.920000076293945,12.286461939883214,3.476098587555063,155669.472778320312500
,1411300,9813,79485300.000000000000000,0.000000000000000,49.020000457763672,49.020000457763672,27.824564539400988,7.957849772058305,273042.451825141906738
,1413500,53579,433989900.000000000000000,0.000000000000000,77.260002136230469,77.260002136230469,13.709377960292011,5.422130145740540,734534.761734485626221
,1414500,8281,67076100.000000000000000,0.000000000000000,29.420000076293945,29.420000076293945,12.681218526283045,4.335381560878557,105013.170616149902344
,1415000,10698,86653800.000000000000000,0.000000000000000,60.759998321533203,60.759998321533203,14.452744472626327,5.465380509140449,154615.460368156433105
,1423000,106417,861977700.000000000000000,0.000000000000000,77.260002136230469,77.260002136230469,14.362509846453193,5.095893294469444,1528415.210330009460449
,1434025,1224,9914400.000000000000000,0.000000000000000,28.579999923706055,28.579999923706055,9.923235464719387,2.774665403841948,12146.040208816528320
,1435000,21398,173323800.000000000000000,0.000000000000000,59.200000762939453,59.200000762939453,12.566250285608477,4.267823991660685,268892.623611450195313
,1439500,37806,306228600.000000000000000,0.000000000000000,82.349998474121094,82.349998474121094,18.958946569605505,13.980332603747007,716761.934010505676270
,1440000,21158,171379800.000000000000000,0.000000000000000,104.309997558593750,104.309997558593750,16.472823465509375,10.887514235835665,348531.998883247375488
